Matchup,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"DEC 02, 2014 - CHI vs. DAL",L,290,129,47,103,45.6,8,26,30.8,27,34,79.4,15,37,52,38,5,6,18,22
"NOV 30, 2014 - CHI @ BKN",W,240,102,34,69,49.3,7,24,29.2,27,34,79.4,7,43,50,19,6,5,19,24
"NOV 28, 2014 - CHI @ BOS",W,240,109,37,90,41.1,5,17,29.4,30,37,81.1,18,34,52,18,5,13,13,21
"NOV 25, 2014 - CHI @ DEN",L,240,109,35,82,42.7,7,21,33.3,32,37,86.5,11,26,37,20,9,4,12,22
"NOV 24, 2014 - CHI @ UTA",W,240,97,36,72,50,9,20,45,16,23,69.6,7,28,35,20,9,3,16,14
"NOV 21, 2014 - CHI @ POR",L,240,87,30,83,36.1,8,22,36.4,19,28,67.9,11,37,48,14,9,2,14,18
"NOV 20, 2014 - CHI @ SAC",L,240,88,36,84,42.9,5,19,26.3,11,16,68.8,13,29,42,23,6,4,14,26
"NOV 17, 2014 - CHI @ LAC",W,240,105,39,80,48.8,10,26,38.5,17,25,68,9,36,45,28,7,2,8,24
"NOV 15, 2014 - CHI vs. IND",L,240,90,35,83,42.2,4,17,23.5,16,23,69.6,10,24,34,18,6,7,13,19
"NOV 13, 2014 - CHI @ TOR",W,240,100,37,77,48.1,4,15,26.7,22,32,68.8,13,35,48,26,7,7,19,18
"NOV 10, 2014 - CHI vs. DET",W,240,102,39,88,44.3,7,20,35,17,20,85,9,40,49,22,6,8,10,19
"NOV 08, 2014 - CHI vs. BOS",L,240,101,42,92,45.7,8,18,44.4,9,15,60,11,27,38,26,5,2,8,16
"NOV 07, 2014 - CHI @ PHI",W,240,118,40,78,51.3,12,24,50,26,34,76.5,12,28,40,25,4,6,17,21
"NOV 05, 2014 - CHI @ MIL",W,240,95,34,73,46.6,5,16,31.3,22,30,73.3,7,35,42,24,8,3,16,18
"NOV 04, 2014 - CHI vs. ORL",W,240,98,35,75,46.7,7,15,46.7,21,27,77.8,10,34,44,23,6,9,12,18
"NOV 01, 2014 - CHI @ MIN",W,240,106,33,69,47.8,9,23,39.1,31,40,77.5,5,33,38,15,3,8,14,24
"OCT 31, 2014 - CHI vs. CLE",L,265,108,41,90,45.6,13,31,41.9,13,17,76.5,11,31,42,25,4,14,19,28
"OCT 29, 2014 - CHI @ NYK",W,240,104,36,71,50.7,7,24,29.2,25,30,83.3,10,37,47,21,9,4,15,18
"APR 15, 2015 - DAL vs. POR",W,240,114,39,86,45.3,9,25,36,27,34,79.4,12,42,54,18,9,5,14,17
"APR 13, 2015 - DAL @ UTA",L,240,92,34,82,41.5,9,20,45,15,23,65.2,12,29,41,18,4,4,16,21
"APR 12, 2015 - DAL @ LAL",W,240,120,45,83,54.2,10,21,47.6,20,26,76.9,7,35,42,31,7,9,12,20
"APR 10, 2015 - DAL @ DEN",W,290,144,57,109,52.3,11,29,37.9,19,24,79.2,11,38,49,39,8,6,17,23
"APR 08, 2015 - DAL vs. PHX",W,240,107,45,94,47.9,4,18,22.2,13,16,81.3,15,32,47,18,3,3,8,17
"APR 04, 2015 - DAL vs. GSW",L,240,110,34,80,42.5,3,16,18.8,39,54,72.2,10,34,44,14,6,2,16,23
"APR 02, 2015 - DAL vs. HOU",L,240,101,37,84,44,8,26,30.8,19,27,70.4,9,32,41,23,6,5,13,29
"APR 01, 2015 - DAL @ OKC",W,240,135,56,91,61.5,4,15,26.7,19,24,79.2,4,30,34,35,8,1,6,23
"MAR 29, 2015 - DAL @ IND",L,240,99,40,90,44.4,6,15,40,13,19,68.4,9,32,41,20,5,3,12,25
"MAR 27, 2015 - DAL @ SAS",L,240,76,31,82,37.8,4,18,22.2,10,15,66.7,15,32,47,15,9,4,18,21
