Matchup,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"NOV 26, 2014 - OKC vs. UTA",W,240,97,40,83,48.2,12,26,46.2,5,10,50,12,33,45,21,9,7,16,26
"NOV 23, 2014 - OKC vs. GSW",L,240,86,32,90,35.6,3,17,17.6,19,27,70.4,13,44,57,13,3,12,11,23
"NOV 21, 2014 - OKC vs. BKN",L,240,92,38,85,44.7,4,20,20,12,19,63.2,13,23,36,18,9,9,13,25
"NOV 19, 2014 - OKC @ DEN",L,240,100,36,79,45.6,10,23,43.5,18,25,72,13,26,39,21,5,0,10,24
"NOV 18, 2014 - OKC @ UTA",L,240,81,30,84,35.7,8,23,34.8,13,19,68.4,12,32,44,17,8,6,13,22
"NOV 16, 2014 - OKC vs. HOU",L,240,65,20,68,29.4,3,19,15.8,22,28,78.6,11,34,45,14,6,15,15,30
"NOV 14, 2014 - OKC vs. DET",L,265,89,38,96,39.6,12,36,33.3,1,6,16.7,10,32,42,23,9,7,14,23
"NOV 12, 2014 - OKC @ BOS",W,240,109,40,82,48.8,10,24,41.7,19,22,86.4,8,33,41,23,1,3,8,13
"NOV 11, 2014 - OKC @ MIL",L,240,78,29,87,33.3,6,20,30,14,19,73.7,13,33,46,15,6,5,15,22
"NOV 09, 2014 - OKC vs. SAC",W,240,101,36,78,46.2,6,18,33.3,23,27,85.2,11,29,40,16,5,6,14,22
"NOV 07, 2014 - OKC vs. MEM",L,240,89,37,79,46.8,12,25,48,3,11,27.3,10,34,44,16,3,1,17,18
"NOV 04, 2014 - OKC @ TOR",L,240,88,34,65,52.3,6,21,28.6,14,25,56,6,35,41,23,4,3,19,27
"NOV 03, 2014 - OKC @ BKN",L,240,85,32,82,39,8,23,34.8,13,21,61.9,15,29,44,14,3,3,17,17
"NOV 01, 2014 - OKC vs. DEN",W,240,102,37,80,46.3,6,20,30,22,31,71,6,35,41,24,8,6,13,20
"OCT 30, 2014 - OKC @ LAC",L,240,90,28,65,43.1,6,21,28.6,28,34,82.4,8,39,47,23,5,2,22,27
"OCT 29, 2014 - OKC @ POR",L,240,89,33,81,40.7,2,16,12.5,21,26,80.8,14,29,43,19,9,5,13,28
"APR 15, 2015 - TOR vs. CHA",W,240,92,38,77,49.4,12,33,36.4,4,4,100,5,27,32,27,8,3,11,16
"APR 14, 2015 - TOR @ BOS",L,240,93,35,80,43.8,9,24,37.5,14,20,70,7,36,43,17,9,9,18,18
"APR 11, 2015 - TOR @ MIA",W,240,107,35,83,42.2,9,26,34.6,28,37,75.7,15,32,47,12,7,3,7,31
"APR 10, 2015 - TOR @ ORL",W,240,101,39,94,41.5,9,30,30,14,15,93.3,17,29,46,22,8,1,15,15
"APR 08, 2015 - TOR @ CHA",W,240,92,33,77,42.9,12,27,44.4,14,19,73.7,9,38,47,20,5,9,9,19
"APR 04, 2015 - TOR vs. BOS",L,265,116,40,83,48.2,6,23,26.1,30,38,78.9,9,37,46,15,7,4,16,22
"APR 03, 2015 - TOR @ BKN",L,240,109,42,82,51.2,8,26,30.8,17,23,73.9,13,27,40,24,5,1,14,21
"APR 01, 2015 - TOR @ MIN",W,240,113,42,76,55.3,13,30,43.3,16,23,69.6,8,26,34,25,8,3,12,18
"MAR 30, 2015 - TOR vs. HOU",W,240,99,35,78,44.9,8,22,36.4,21,27,77.8,12,36,48,20,9,7,15,26
"MAR 27, 2015 - TOR vs. LAL",W,240,94,36,75,48,7,18,38.9,15,21,71.4,8,32,40,25,8,4,10,19
"MAR 25, 2015 - TOR vs. CHI",L,240,103,39,83,47,9,21,42.9,16,19,84.2,10,25,35,16,6,1,7,16
"MAR 24, 2015 - TOR @ DET",L,240,104,35,75,46.7,7,23,30.4,27,29,93.1,12,31,43,19,2,4,12,20
"MAR 22, 2015 - TOR vs. NYK",W,240,106,39,75,52,4,11,36.4,24,29,82.8,8,36,44,22,4,1,16,14
"MAR 20, 2015 - TOR @ CHI",L,240,92,30,79,38,10,25,40,22,26,84.6,12,24,36,20,6,4,6,19
"MAR 18, 2015 - TOR vs. MIN",W,240,105,35,79,44.3,12,29,41.4,23,27,85.2,8,31,39,25,6,3,12,15
"MAR 16, 2015 - TOR @ IND",W,240,117,39,82,47.6,12,23,52.2,27,33,81.8,7,44,51,19,3,4,11,24
"MAR 15, 2015 - TOR vs. POR",L,240,97,37,78,47.4,5,18,27.8,18,23,78.3,9,33,42,20,5,3,15,22
"MAR 13, 2015 - TOR vs. MIA",W,240,102,34,79,43,12,33,36.4,22,31,71,9,34,43,26,12,5,17,22
"MAR 10, 2015 - TOR @ SAS",L,240,107,43,97,44.3,8,26,30.8,13,18,72.2,18,28,46,19,6,5,9,26
"MAR 08, 2015 - TOR @ OKC",L,240,104,42,98,42.9,11,27,40.7,9,9,100,12,21,33,24,12,3,8,21
"MAR 06, 2015 - TOR @ CHA",L,240,94,37,91,40.7,7,22,31.8,13,15,86.7,5,27,32,21,5,5,5,18
"MAR 04, 2015 - TOR vs. CLE",L,240,112,43,79,54.4,10,21,47.6,16,17,94.1,7,27,34,24,5,3,8,24
"MAR 02, 2015 - TOR @ PHI",W,240,114,41,80,51.3,11,27,40.7,21,24,87.5,10,26,36,24,6,6,9,16
"FEB 28, 2015 - TOR @ NYK",L,240,98,34,81,42,8,29,27.6,22,28,78.6,10,30,40,16,7,4,12,27
"FEB 27, 2015 - TOR vs. GSW",L,240,89,31,77,40.3,4,22,18.2,23,28,82.1,8,34,42,15,6,3,19,17
"FEB 24, 2015 - TOR @ DAL",L,240,92,38,84,45.2,9,26,34.6,7,11,63.6,7,30,37,17,10,4,18,20
"FEB 23, 2015 - TOR @ NOP",L,240,97,35,84,41.7,5,23,21.7,22,31,71,16,24,40,13,12,2,8,15
"FEB 21, 2015 - TOR @ HOU",L,240,76,25,77,32.5,4,18,22.2,22,28,78.6,7,32,39,12,17,5,23,24
"FEB 20, 2015 - TOR @ ATL",W,240,105,43,96,44.8,13,30,43.3,6,8,75,15,37,52,27,15,9,13,20
"FEB 11, 2015 - TOR vs. WAS",W,240,95,31,76,40.8,11,26,42.3,22,26,84.6,9,28,37,17,9,5,13,13
"FEB 08, 2015 - TOR vs. SAS",W,240,87,32,74,43.2,4,13,30.8,19,24,79.2,6,42,48,18,11,7,14,15
"FEB 06, 2015 - TOR vs. LAC",W,240,123,40,75,53.3,13,30,43.3,30,37,81.1,10,32,42,25,7,1,11,19
"FEB 04, 2015 - TOR vs. BKN",L,240,93,35,79,44.3,10,33,30.3,13,18,72.2,9,29,38,22,3,4,9,16
"FEB 02, 2015 - TOR vs. MIL",L,240,75,25,78,32.1,7,27,25.9,18,22,81.8,13,33,46,14,7,3,15,19
"JAN 31, 2015 - TOR @ WAS",W,265,120,44,88,50,11,26,42.3,21,30,70,6,28,34,26,7,8,13,29
"JAN 30, 2015 - TOR @ BKN",W,265,127,47,92,51.1,7,26,26.9,26,30,86.7,9,36,45,22,5,3,9,21
"JAN 28, 2015 - TOR vs. SAC",W,240,119,43,84,51.2,17,34,50,16,19,84.2,11,28,39,29,12,4,16,24
"JAN 27, 2015 - TOR @ IND",W,240,104,34,73,46.6,9,26,34.6,27,34,79.4,8,34,42,21,9,6,10,27
"JAN 25, 2015 - TOR vs. DET",W,240,114,43,81,53.1,5,15,33.3,23,29,79.3,6,31,37,23,9,5,8,21
"JAN 23, 2015 - TOR @ PHI",W,240,91,33,80,41.3,6,24,25,19,24,79.2,13,29,42,19,11,5,14,17
"JAN 21, 2015 - TOR @ MEM",L,240,86,27,85,31.8,5,28,17.9,27,32,84.4,21,29,50,14,6,6,14,25
"JAN 19, 2015 - TOR @ MIL",W,240,92,36,90,40,6,24,25,14,24,58.3,20,34,54,17,9,5,15,20
"JAN 18, 2015 - TOR vs. NOP",L,240,93,31,72,43.1,7,25,28,24,29,82.8,7,30,37,18,9,5,15,18
"JAN 16, 2015 - TOR vs. ATL",L,240,89,35,82,42.7,6,25,24,13,17,76.5,12,23,35,20,7,3,17,16
"JAN 14, 2015 - TOR vs. PHI",W,240,100,38,82,46.3,10,29,34.5,14,22,63.6,10,39,49,26,7,2,17,24
"JAN 12, 2015 - TOR vs. DET",L,240,111,47,87,54,7,27,25.9,10,14,71.4,10,32,42,29,4,7,18,20
"JAN 10, 2015 - TOR vs. BOS",W,240,109,41,91,45.1,13,30,43.3,14,19,73.7,15,33,48,23,8,10,13,20
"JAN 08, 2015 - TOR vs. CHA",L,240,95,33,83,39.8,10,31,32.3,19,25,76,8,34,42,20,2,7,14,21
"JAN 04, 2015 - TOR @ PHX",L,240,109,38,83,45.8,9,26,34.6,24,29,82.8,9,34,43,22,9,4,20,24
"JAN 02, 2015 - TOR @ GSW",L,240,105,40,86,46.5,10,25,40,15,20,75,11,26,37,23,7,1,15,16
"DEC 30, 2014 - TOR @ POR",L,265,97,40,99,40.4,4,22,18.2,13,15,86.7,13,36,49,14,10,2,10,21
"DEC 28, 2014 - TOR @ DEN",W,240,116,43,88,48.9,10,23,43.5,20,32,62.5,13,31,44,23,4,5,6,23
"DEC 27, 2014 - TOR @ LAC",W,240,110,41,86,47.7,13,34,38.2,15,19,78.9,12,31,43,25,7,1,9,17
"DEC 22, 2014 - TOR @ CHI",L,240,120,44,100,44,9,30,30,23,32,71.9,18,19,37,15,10,3,7,30
"DEC 21, 2014 - TOR vs. NYK",W,240,118,42,86,48.8,14,33,42.4,20,27,74.1,16,27,43,24,7,4,10,24
"DEC 19, 2014 - TOR @ DET",W,240,110,42,88,47.7,8,27,29.6,18,24,75,9,38,47,24,4,5,8,16
"DEC 17, 2014 - TOR vs. BKN",W,240,105,41,80,51.3,10,20,50,13,19,68.4,11,31,42,24,6,4,9,21
"DEC 15, 2014 - TOR vs. ORL",W,240,95,37,83,44.6,11,30,36.7,10,15,66.7,12,27,39,25,8,4,11,14
"DEC 14, 2014 - TOR @ NYK",W,265,95,36,78,46.2,9,24,37.5,14,18,77.8,9,33,42,24,14,2,23,25
"DEC 12, 2014 - TOR vs. IND",W,240,106,38,91,41.8,10,26,38.5,20,22,90.9,16,36,52,21,2,3,10,23
"DEC 09, 2014 - TOR @ CLE",L,240,101,42,82,51.2,7,23,30.4,10,10,100,12,23,35,26,4,3,15,24
"DEC 08, 2014 - TOR vs. DEN",W,265,112,41,81,50.6,9,33,27.3,21,29,72.4,8,36,44,21,4,10,14,16
"DEC 05, 2014 - TOR vs. CLE",L,240,91,35,86,40.7,8,24,33.3,13,20,65,14,26,40,25,4,4,11,17
"DEC 03, 2014 - TOR @ UTA",W,240,123,45,79,57,12,21,57.1,21,24,87.5,8,29,37,15,7,3,9,16
"DEC 02, 2014 - TOR @ SAC",W,240,117,44,88,50,10,23,43.5,19,21,90.5,13,22,35,22,8,3,13,29
"NOV 30, 2014 - TOR @ LAL",L,265,122,45,104,43.3,9,34,26.5,23,31,74.2,14,39,53,25,6,6,8,28
"NOV 28, 2014 - TOR vs. DAL",L,240,102,38,91,41.8,14,33,42.4,12,16,75,15,40,55,17,7,1,17,23
"NOV 26, 2014 - TOR @ ATL",W,240,126,42,82,51.2,14,29,48.3,28,33,84.8,11,25,36,24,7,7,11,24
"NOV 24, 2014 - TOR vs. PHX",W,240,104,37,82,45.1,4,17,23.5,26,32,81.3,8,29,37,21,9,3,12,20
"NOV 22, 2014 - TOR @ CLE",W,240,110,32,80,40,8,24,33.3,38,42,90.5,8,26,34,20,8,6,8,26
"NOV 21, 2014 - TOR vs. MIL",W,240,124,45,86,52.3,15,25,60,19,24,79.2,15,42,57,27,8,4,16,24
"NOV 19, 2014 - TOR vs. MEM",W,240,96,38,83,45.8,9,26,34.6,11,13,84.6,7,28,35,24,9,6,8,20
"NOV 15, 2014 - TOR vs. UTA",W,240,111,43,84,51.2,8,21,38.1,17,23,73.9,13,29,42,15,6,5,8,19
"NOV 13, 2014 - TOR vs. CHI",L,240,93,35,89,39.3,8,25,32,15,21,71.4,13,25,38,17,11,7,14,28
"NOV 11, 2014 - TOR vs. ORL",W,240,104,35,77,45.5,9,21,42.9,25,30,83.3,5,35,40,16,9,1,12,17
"NOV 09, 2014 - TOR vs. PHI",W,240,120,43,76,56.6,7,17,41.2,27,30,90,4,35,39,23,12,8,20,17
"NOV 07, 2014 - TOR vs. WAS",W,240,103,35,80,43.8,9,22,40.9,24,31,77.4,10,39,49,19,5,3,13,27
"NOV 05, 2014 - TOR @ BOS",W,240,110,42,87,48.3,7,16,43.8,19,23,82.6,6,18,24,18,11,4,7,18
"NOV 04, 2014 - TOR vs. OKC",W,240,100,32,81,39.5,8,31,25.8,28,33,84.8,12,27,39,23,6,3,10,24
"NOV 02, 2014 - TOR @ MIA",L,240,102,37,79,46.8,4,16,25,24,39,61.5,9,19,28,11,8,5,10,28
"NOV 01, 2014 - TOR @ ORL",W,240,108,33,83,39.8,4,21,19,38,48,79.2,15,35,50,13,4,4,7,21
"OCT 29, 2014 - TOR vs. ATL",W,240,109,37,90,41.1,8,26,30.8,27,33,81.8,16,32,48,26,13,9,9,22
"APR 15, 2015 - UTA @ HOU",L,240,91,38,101,37.6,5,27,18.5,10,18,55.6,14,30,44,23,12,6,14,21
"APR 13, 2015 - UTA vs. DAL",W,240,109,41,82,50,11,28,39.3,16,26,61.5,12,36,48,24,10,6,14,19
"APR 11, 2015 - UTA @ POR",W,240,111,36,79,45.6,6,17,35.3,33,42,78.6,15,33,48,20,9,4,16,17
"APR 10, 2015 - UTA vs. MEM",L,240,88,31,71,43.7,11,23,47.8,15,22,68.2,9,30,39,16,4,3,15,22
"APR 08, 2015 - UTA vs. SAC",W,240,103,36,74,48.6,13,31,41.9,18,25,72,13,34,47,23,5,8,16,22
"APR 05, 2015 - UTA @ SAC",W,240,101,40,87,46,8,24,33.3,13,18,72.2,14,33,47,18,11,6,18,24
"APR 04, 2015 - UTA @ PHX",L,240,85,29,74,39.2,7,21,33.3,20,24,83.3,13,34,47,17,10,2,18,23
"APR 01, 2015 - UTA vs. DEN",W,240,98,37,77,48.1,9,23,39.1,15,24,62.5,12,37,49,24,5,8,14,16
"MAR 30, 2015 - UTA @ MIN",W,240,104,39,82,47.6,10,33,30.3,16,18,88.9,14,33,47,18,8,6,12,22
"MAR 28, 2015 - UTA vs. OKC",W,240,94,32,84,38.1,6,29,20.7,24,35,68.6,16,26,42,12,14,8,11,29
"MAR 27, 2015 - UTA @ DEN",L,240,91,32,81,39.5,5,27,18.5,22,31,71,14,28,42,20,12,7,13,19
"MAR 25, 2015 - UTA vs. POR",L,240,89,35,80,43.8,4,16,25,15,23,65.2,11,32,43,12,11,2,9,20
"MAR 23, 2015 - UTA vs. MIN",L,265,104,38,87,43.7,9,28,32.1,19,31,61.3,21,25,46,21,11,11,17,20
"MAR 21, 2015 - UTA @ GSW",L,240,91,32,73,43.8,10,22,45.5,17,21,81,8,27,35,19,5,2,15,19
"MAR 19, 2015 - UTA @ LAL",W,240,80,25,62,40.3,9,25,36,21,31,67.7,2,34,36,19,11,8,14,17
"MAR 18, 2015 - UTA vs. WAS",L,240,84,34,82,41.5,4,22,18.2,12,24,50,14,22,36,21,9,5,9,19
"MAR 16, 2015 - UTA vs. CHA",W,240,94,33,78,42.3,15,24,62.5,13,19,68.4,14,47,61,19,3,5,13,19
"MAR 14, 2015 - UTA vs. DET",W,240,88,33,69,47.8,6,14,42.9,16,24,66.7,10,35,45,17,8,8,15,17
"MAR 12, 2015 - UTA vs. HOU",W,240,109,44,92,47.8,11,33,33.3,10,17,58.8,22,35,57,23,5,10,12,18
"MAR 10, 2015 - UTA vs. NYK",W,240,87,30,70,42.9,6,18,33.3,21,29,72.4,6,34,40,16,8,5,11,21
"MAR 08, 2015 - UTA @ BKN",W,240,95,34,72,47.2,10,22,45.5,17,21,81,12,31,43,24,6,4,16,12
"MAR 06, 2015 - UTA @ PHI",W,240,89,27,71,38,6,12,50,29,41,70.7,12,37,49,17,9,5,18,20
"MAR 04, 2015 - UTA @ BOS",L,240,84,34,75,45.3,3,19,15.8,13,21,61.9,11,40,51,21,1,4,13,19
"MAR 03, 2015 - UTA @ MEM",W,240,93,36,80,45,5,25,20,16,19,84.2,14,41,55,22,7,7,15,17
"FEB 28, 2015 - UTA vs. MIL",W,240,82,29,76,38.2,6,22,27.3,18,23,78.3,13,33,46,18,16,7,22,18
"FEB 27, 2015 - UTA @ DEN",W,240,104,39,68,57.4,9,21,42.9,17,21,81,8,35,43,24,13,15,20,23
"FEB 25, 2015 - UTA vs. LAL",L,240,97,34,73,46.6,7,12,58.3,22,34,64.7,13,34,47,18,3,5,20,19
"FEB 23, 2015 - UTA vs. SAS",W,240,90,34,83,41,4,15,26.7,18,23,78.3,11,38,49,14,14,5,13,24
"FEB 20, 2015 - UTA vs. POR",W,240,92,37,83,44.6,10,25,40,8,17,47.1,13,35,48,18,11,7,8,21
"FEB 11, 2015 - UTA @ DAL",L,240,82,30,80,37.5,11,29,37.9,11,21,52.4,14,38,52,19,9,7,18,21
"FEB 09, 2015 - UTA @ NOP",W,240,100,39,93,41.9,9,21,42.9,13,19,68.4,21,26,47,23,11,9,10,17
"FEB 07, 2015 - UTA vs. SAC",W,240,102,43,86,50,5,19,26.3,11,17,64.7,14,29,43,21,6,6,9,28
"FEB 06, 2015 - UTA @ PHX",L,240,93,37,80,46.3,7,20,35,12,18,66.7,6,37,43,23,8,4,14,16
"FEB 04, 2015 - UTA vs. MEM",L,240,90,33,73,45.2,7,23,30.4,17,26,65.4,9,31,40,15,6,3,12,19
"FEB 03, 2015 - UTA @ POR",L,240,102,39,85,45.9,6,13,46.2,18,26,69.2,14,27,41,18,8,4,10,23
"JAN 30, 2015 - UTA vs. GSW",W,240,110,42,94,44.7,9,25,36,17,28,60.7,17,38,55,21,10,6,11,20
"JAN 28, 2015 - UTA vs. LAC",L,240,89,35,81,43.2,5,24,20.8,14,20,70,16,31,47,17,2,6,9,18
"JAN 26, 2015 - UTA vs. BOS",L,240,90,35,82,42.7,9,24,37.5,11,19,57.9,10,29,39,18,9,10,14,23
"JAN 24, 2015 - UTA vs. BKN",W,240,108,42,79,53.2,13,29,44.8,11,14,78.6,6,37,43,23,9,5,15,13
"JAN 22, 2015 - UTA @ MIL",W,240,101,32,71,45.1,14,31,45.2,23,28,82.1,12,31,43,25,9,3,22,15
"JAN 21, 2015 - UTA @ CLE",L,240,92,35,84,41.7,8,22,36.4,14,18,77.8,16,26,42,24,9,1,17,22
"JAN 18, 2015 - UTA @ SAS",L,240,69,28,84,33.3,3,10,30,10,16,62.5,12,36,48,23,7,13,12,17
"JAN 16, 2015 - UTA vs. LAL",W,240,94,36,85,42.4,12,31,38.7,10,10,100,12,26,38,24,11,7,12,21
"JAN 13, 2015 - UTA vs. GSW",L,240,105,39,81,48.1,7,21,33.3,20,24,83.3,11,33,44,14,7,7,15,18
"JAN 10, 2015 - UTA @ HOU",L,240,82,29,70,41.4,5,17,29.4,19,21,90.5,9,32,41,20,15,6,27,17
"JAN 09, 2015 - UTA @ OKC",L,240,94,36,74,48.6,7,21,33.3,15,22,68.2,9,35,44,22,12,11,20,14
"JAN 07, 2015 - UTA @ CHI",W,240,97,37,78,47.4,5,16,31.3,18,24,75,14,34,48,21,8,8,15,20
"JAN 05, 2015 - UTA vs. IND",L,240,101,35,81,43.2,4,23,17.4,27,34,79.4,14,27,41,16,6,6,10,24
"JAN 03, 2015 - UTA @ MIN",W,240,101,38,75,50.7,11,20,55,14,21,66.7,11,36,47,23,6,10,12,16
"JAN 02, 2015 - UTA vs. ATL",L,240,92,32,86,37.2,10,31,32.3,18,24,75,17,30,47,18,6,9,14,18
"DEC 30, 2014 - UTA vs. MIN",W,240,100,38,79,48.1,7,19,36.8,17,22,77.3,11,32,43,16,5,3,13,19
"DEC 29, 2014 - UTA @ LAC",L,240,97,38,92,41.3,8,19,42.1,13,22,59.1,18,34,52,26,7,3,13,22
"DEC 27, 2014 - UTA vs. PHI",W,240,88,30,84,35.7,4,23,17.4,24,28,85.7,14,41,55,17,11,10,12,23
"DEC 22, 2014 - UTA @ MEM",W,240,97,34,75,45.3,9,19,47.4,20,27,74.1,10,39,49,20,0,5,11,15
"DEC 20, 2014 - UTA @ CHA",L,240,86,33,85,38.8,8,31,25.8,12,15,80,13,26,39,18,3,5,9,15
"DEC 19, 2014 - UTA @ ORL",W,240,101,39,73,53.4,4,11,36.4,19,24,79.2,7,35,42,24,4,5,15,14
"DEC 17, 2014 - UTA @ MIA",W,240,105,35,66,53,14,25,56,21,24,87.5,6,32,38,23,4,5,18,26
"DEC 16, 2014 - UTA @ NOP",L,240,111,45,90,50,5,15,33.3,16,19,84.2,18,19,37,19,6,7,15,18
"DEC 14, 2014 - UTA @ WAS",L,240,84,30,78,38.5,5,17,29.4,19,28,67.9,12,33,45,13,8,7,17,18
"DEC 12, 2014 - UTA vs. MIA",L,240,95,34,77,44.2,8,28,28.6,19,22,86.4,12,32,44,16,4,6,11,18
"DEC 09, 2014 - UTA vs. SAS",W,240,100,40,80,50,4,14,28.6,16,22,72.7,8,35,43,18,5,7,18,23
"DEC 08, 2014 - UTA @ SAC",L,240,92,32,79,40.5,3,17,17.6,25,37,67.6,11,24,35,20,7,7,13,26
"DEC 05, 2014 - UTA vs. ORL",L,240,93,36,79,45.6,8,16,50,13,21,61.9,13,28,41,23,4,6,11,21
"DEC 03, 2014 - UTA vs. TOR",L,240,104,42,87,48.3,8,28,28.6,12,15,80,13,22,35,21,7,5,8,15
"DEC 01, 2014 - UTA vs. DEN",L,240,101,36,84,42.9,7,18,38.9,22,30,73.3,14,34,48,18,3,6,14,15
"NOV 29, 2014 - UTA vs. LAC",L,240,96,34,75,45.3,7,21,33.3,21,33,63.6,12,25,37,19,6,2,13,15
"NOV 26, 2014 - UTA @ OKC",L,240,82,31,70,44.3,3,16,18.8,17,28,60.7,8,30,38,11,9,2,19,16
"NOV 24, 2014 - UTA vs. CHI",L,240,95,42,86,48.8,3,9,33.3,8,10,80,11,30,41,22,9,6,13,20
"NOV 22, 2014 - UTA vs. NOP",L,240,94,33,71,46.5,5,14,35.7,23,29,79.3,11,31,42,15,6,8,18,25
"NOV 21, 2014 - UTA @ GSW",L,240,88,35,82,42.7,6,17,35.3,12,19,63.2,14,31,45,26,12,5,19,16
"NOV 18, 2014 - UTA vs. OKC",W,240,98,35,81,43.2,10,24,41.7,18,26,69.2,12,43,55,22,8,4,13,17
"NOV 15, 2014 - UTA @ TOR",L,240,93,33,75,44,5,16,31.3,22,30,73.3,10,28,38,22,5,3,11,21
"NOV 14, 2014 - UTA @ NYK",W,240,102,36,70,51.4,10,22,45.5,20,25,80,11,28,39,25,6,8,18,20
"NOV 12, 2014 - UTA @ ATL",L,240,97,43,86,50,5,23,21.7,6,12,50,8,22,30,28,12,8,11,17
"NOV 10, 2014 - UTA @ IND",L,240,86,32,74,43.2,6,21,28.6,16,21,76.2,5,32,37,18,5,6,11,18
"NOV 09, 2014 - UTA @ DET",W,240,97,33,72,45.8,6,15,40,25,35,71.4,9,34,43,20,7,2,11,18
"NOV 07, 2014 - UTA vs. DAL",L,240,82,29,68,42.6,9,28,32.1,15,19,78.9,9,32,41,19,4,6,21,17
"NOV 05, 2014 - UTA vs. CLE",W,240,102,39,77,50.6,7,21,33.3,17,22,77.3,13,28,41,26,3,8,12,26
"NOV 03, 2014 - UTA @ LAC",L,240,101,36,77,46.8,10,27,37,19,24,79.2,9,34,43,24,4,2,17,20
"NOV 01, 2014 - UTA vs. PHX",W,240,118,42,88,47.7,7,26,26.9,27,33,81.8,13,39,52,19,10,6,13,15
"OCT 30, 2014 - UTA @ DAL",L,240,102,36,83,43.4,14,35,40,16,18,88.9,15,25,40,22,6,0,16,21
"OCT 29, 2014 - UTA vs. HOU",L,240,93,38,81,46.9,3,18,16.7,14,17,82.4,13,21,34,16,8,6,13,16
"APR 15, 2015 - MEM vs. IND",W,240,95,36,76,47.4,2,9,22.2,21,26,80.8,16,32,48,12,10,3,12,17
"APR 13, 2015 - MEM @ GSW",L,240,107,41,98,41.8,5,15,33.3,20,25,80,18,26,44,24,11,4,15,22
"APR 11, 2015 - MEM @ LAC",L,240,86,34,77,44.2,2,9,22.2,16,24,66.7,11,32,43,24,8,4,18,20
"APR 10, 2015 - MEM @ UTA",W,240,89,36,76,47.4,5,15,33.3,12,19,63.2,7,29,36,22,8,1,11,22
"APR 08, 2015 - MEM vs. NOP",W,240,110,45,88,51.1,8,17,47.1,12,14,85.7,14,38,52,27,7,3,8,16
"APR 04, 2015 - MEM vs. WAS",L,240,83,34,81,42,1,15,6.7,14,18,77.8,9,32,41,23,2,3,15,15
"APR 03, 2015 - MEM vs. OKC",W,240,100,38,80,47.5,4,21,19,20,28,71.4,8,37,45,16,7,7,13,22
"MAR 30, 2015 - MEM vs. SAC",W,240,97,38,83,45.8,8,23,34.8,13,17,76.5,14,31,45,23,7,11,13,21
"MAR 29, 2015 - MEM @ SAS",L,240,89,36,82,43.9,6,14,42.9,11,12,91.7,3,31,34,22,5,1,10,17
"MAR 27, 2015 - MEM vs. GSW",L,240,84,34,76,44.7,5,13,38.5,11,15,73.3,8,32,40,19,9,2,19,18
"MAR 25, 2015 - MEM vs. CLE",L,240,89,37,85,43.5,4,17,23.5,11,16,68.8,9,23,32,18,9,6,8,15
"MAR 23, 2015 - MEM @ NYK",W,240,103,41,79,51.9,7,12,58.3,14,19,73.7,9,30,39,22,4,2,10,19
"MAR 21, 2015 - MEM vs. POR",W,240,97,37,89,41.6,11,18,61.1,12,16,75,11,34,45,21,10,1,10,16
"MAR 20, 2015 - MEM @ DAL",W,240,112,41,77,53.2,8,18,44.4,22,32,68.8,6,32,38,19,7,3,15,30
"MAR 17, 2015 - MEM @ DET",L,240,95,35,80,43.8,10,18,55.6,15,17,88.2,11,31,42,28,9,2,16,22
"MAR 16, 2015 - MEM vs. DEN",W,240,92,33,80,41.3,2,9,22.2,24,28,85.7,20,37,57,14,9,5,19,16
"MAR 14, 2015 - MEM vs. MIL",W,240,96,37,78,47.4,8,14,57.1,14,16,87.5,8,28,36,23,10,3,14,21
"MAR 12, 2015 - MEM @ WAS",L,240,87,31,80,38.8,3,19,15.8,22,30,73.3,14,27,41,18,9,3,21,29
"MAR 11, 2015 - MEM @ BOS",L,240,92,37,78,47.4,5,12,41.7,13,13,100,10,31,41,21,11,4,21,19
"MAR 09, 2015 - MEM @ CHI",W,240,101,42,84,50,5,14,35.7,12,17,70.6,7,33,40,25,13,5,11,12
"MAR 07, 2015 - MEM @ NOP",L,240,89,32,74,43.2,6,16,37.5,19,29,65.5,8,31,39,26,15,7,14,19
"MAR 06, 2015 - MEM vs. LAL",W,240,97,34,77,44.2,1,11,9.1,28,33,84.8,7,35,42,18,7,1,8,12
"MAR 04, 2015 - MEM @ HOU",W,240,102,42,83,50.6,4,16,25,14,17,82.4,7,31,38,27,11,3,9,15
"MAR 03, 2015 - MEM vs. UTA",L,240,82,33,82,40.2,3,11,27.3,13,19,68.4,11,26,37,15,7,4,11,12
"FEB 28, 2015 - MEM @ MIN",W,240,101,38,64,59.4,4,11,36.4,21,29,72.4,6,37,43,21,7,7,24,24
"FEB 27, 2015 - MEM vs. LAC",L,240,79,33,87,37.9,3,12,25,10,15,66.7,11,30,41,19,6,4,14,27
"FEB 25, 2015 - MEM @ SAC",L,240,90,34,84,40.5,4,16,25,18,23,78.3,14,24,38,22,12,5,17,21
"FEB 23, 2015 - MEM @ LAC",W,240,90,33,81,40.7,5,15,33.3,19,26,73.1,8,34,42,22,10,4,10,13
"FEB 22, 2015 - MEM @ POR",W,240,98,42,89,47.2,3,9,33.3,11,13,84.6,8,36,44,20,13,4,6,15
